id, name, max_business, max_agriculture
1,柔俄西安,5000,4400
2,内亚德烈,6400,6300
3,赫巴斯斯特,7800,5200
4,厦菲奥特尔,7800,4600
5,维帕陶木西,7000,6600
6,罗拉长德,4900,4000
7,克执活加拉,6000,3300
8,瓜萨西汪,5900,6700
9,新基斯库卡,7000,6600
10,田斯特欧,4500,6400
11,瓦拉尔杰纳,4700,5600
12,斯尼约安尔,6400,3400
13,斯达特突新,5700,5100
14,卡伯鲁斯阿,5000,5300
15,雄特泻伊卢,6200,5800
16,冰费拉明慕,4000,6500
17,地纽肯阿,4000,5000
18,比科奥莱,6600,4400
19,士阿得特伊,4400,4200
20,漠湾普纳淡,7900,5000
21,索美亚卡,7700,5700
22,度斯易圣喀,4300,4500
23,边坦萨内林,6100,4000
24,拉提哥萨卡,8000,3100
25,多拉特奇利,6200,5400
26,荷斯阿斯亚,5800,7000
27,岛上尔图霍,7000,3300
28,克马西纳,6600,4500
29,圣巴特马,5900,3300
30,多安米尼西,7100,3300
31,萨长南尼,6200,5300
32,尔阿德雷约,6600,6600
33,那塔希克,7400,5800
34,欧卡港卡尔,6900,4000
35,克耳联圣,6000,4300
36,尔大亚哈茨,5000,5600
37,特属洪拉斯,6000,6500
38,罗特塔什,7800,3500
39,姆冈塔卡马,6500,3000
40,沙鲁温阿丹,4300,3100
41,马亚诺比特,5200,3500
42,特尔沙巴加,7100,3400
43,烈各法斯里,5600,5100
44,马克尔克,7500,5100
45,比贝国奥,5200,3500
46,佛丹斯麦斯,7600,3500
47,斯志属丁的,4200,5900
48,勒梅马内,6200,5800
49,国阳赫拉,5300,4000
50,港拉亥埃佛,4900,4800
